bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B25,0,21,14995.23980265271,0.0,19.02147976,13.25394579,-0.0
B25,0,22,14995.384750753312,0.0,19.02147976,14.518213630000002,-0.0
B25,0,23,14996.106821299081,0.0,19.02147976,14.324071149999998,-0.0
B25,0,24,14996.536783457512,0.0,19.02147976,14.3865554,-0.0
B26,0,1,14996.066755200403,0.0,15.85124496,0.0,-0.0
B26,0,2,14996.129840147269,0.0,11.39543796,0.0,-0.0
B26,0,3,14996.106182952872,0.0,14.13049262,0.0,-0.0
B26,0,4,14996.190136093159,0.0,11.20675768,0.0,-0.0
B26,0,5,14995.982591847698,0.0,19.977962500000004,0.0,-0.0
B26,0,6,14995.42697188456,0.0,40.44410707000001,0.0,-0.0
B26,0,7,14993.399676839183,0.0,45.69641077,0.0,-0.0
B26,0,8,14992.999437958184,0.0,51.50204755,0.0,-0.0
B26,0,9,14991.225698509492,0.0,62.59557172,0.0,-0.0
B26,0,10,14991.152655218046,0.0,71.40065517,0.0,-0.0
B26,0,11,14990.996832622983,0.0,87.72184846,0.0,-0.0
B26,0,12,14990.606780640679,0.0,103.594438,0.0,-0.0
B26,0,13,14992.786205022301,0.0,90.65687627,0.0,-0.0
B26,0,14,14992.97015492853,0.0,84.78682064,0.0,-0.0
B26,0,15,14993.117733309706,0.0,78.91676501,0.0,-0.0
B26,0,16,14993.00398839693,0.0,79.00066429,0.0,-0.0
B26,0,17,14992.306838234597,0.0,89.15076446999998,0.0,-0.0
B26,0,18,14992.81322358977,0.0,90.56528515000001,0.0,-0.0
B26,0,19,14992.938618912112,0.0,84.71443166,0.0,-0.0
B26,0,20,14993.667914235533,0.0,78.84437603,0.0,-0.0
B26,0,21,14993.791089127853,0.0,72.97432041,0.0,-0.0
B26,0,22,14993.992817896207,0.0,67.10426478,0.0,-0.0
B26,0,23,14994.961949281313,0.0,36.49045068,0.0,-0.0
